"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 12:37:55 IST 2022","Thu Nov 03 12:37:56 IST 2022","669","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""reverb""",""
"failed","Thu Nov 03 12:35:24 IST 2022","Thu Nov 03 12:35:31 IST 2022","6614","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""master""",""
"passed","Thu Nov 03 12:41:25 IST 2022","Thu Nov 03 12:41:34 IST 2022","9173","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""subway""",""
"failed","Thu Nov 03 12:49:59 IST 2022","Thu Nov 03 12:50:01 IST 2022","1509","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""egg white""",""
"failed","Thu Nov 03 12:56:57 IST 2022","Thu Nov 03 12:56:58 IST 2022","915","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tecnology""",""
"passed","Thu Nov 03 12:31:02 IST 2022","Thu Nov 03 12:31:25 IST 2022","22697","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""fast car""",""
"passed","Thu Nov 03 12:29:58 IST 2022","Thu Nov 03 12:30:10 IST 2022","11933","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""effort""",""
"failed","Thu Nov 03 12:37:16 IST 2022","Thu Nov 03 12:37:36 IST 2022","20243","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""park""",""
"failed","Thu Nov 03 12:28:13 IST 2022","Thu Nov 03 12:28:36 IST 2022","22567","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""documentary of domestic animals""",""
"passed","Thu Nov 03 12:55:52 IST 2022","Thu Nov 03 12:55:54 IST 2022","1842","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""spaceship""",""
"failed","Thu Nov 03 12:32:54 IST 2022","Thu Nov 03 12:33:14 IST 2022","20316","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""goofing around  - slang""",""
"passed","Thu Nov 03 12:34:32 IST 2022","Thu Nov 03 12:34:40 IST 2022","8623","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""homeless""",""
"passed","Thu Nov 03 12:50:34 IST 2022","Thu Nov 03 12:50:43 IST 2022","8707","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""focus change""",""
"failed","Thu Nov 03 12:56:53 IST 2022","Thu Nov 03 12:56:54 IST 2022","1640","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tea pot""",""
"failed","Thu Nov 03 12:42:26 IST 2022","Thu Nov 03 12:42:47 IST 2022","20924","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""the big bang""",""
"failed","Thu Nov 03 12:51:09 IST 2022","Thu Nov 03 12:51:11 IST 2022","2408","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""goosebumps""",""
"failed","Thu Nov 03 12:57:48 IST 2022","Thu Nov 03 12:57:50 IST 2022","1711","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""yellow cab""",""
"failed","Thu Nov 03 12:24:16 IST 2022","Thu Nov 03 12:24:37 IST 2022","20886","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""big size model""",""
"failed","Thu Nov 03 12:26:49 IST 2022","Thu Nov 03 12:27:09 IST 2022","20298","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""cinematic shot""",""
"failed","Thu Nov 03 12:43:04 IST 2022","Thu Nov 03 12:43:19 IST 2022","15329","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""vj""",""
"passed","Thu Nov 03 12:54:39 IST 2022","Thu Nov 03 12:54:58 IST 2022","19171","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""shapes""",""
"failed","Thu Nov 03 12:48:46 IST 2022","Thu Nov 03 12:48:47 IST 2022","1173","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""domestic violence""",""
"passed","Thu Nov 03 12:48:22 IST 2022","Thu Nov 03 12:48:26 IST 2022","3730","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""challenge""",""
"passed","Thu Nov 03 12:55:34 IST 2022","Thu Nov 03 12:55:52 IST 2022","18525","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""space""",""
"failed","Thu Nov 03 12:48:42 IST 2022","Thu Nov 03 12:48:43 IST 2022","514","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""commercial vibe""",""
"failed","Thu Nov 03 12:27:50 IST 2022","Thu Nov 03 12:28:09 IST 2022","18636","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""commercial vibe""",""
"passed","Thu Nov 03 12:35:06 IST 2022","Thu Nov 03 12:35:24 IST 2022","18377","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""liquid flowing""",""
"failed","Thu Nov 03 12:33:14 IST 2022","Thu Nov 03 12:33:15 IST 2022","717","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""google""",""
"failed","Thu Nov 03 12:52:10 IST 2022","Thu Nov 03 12:52:11 IST 2022","698","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""humanity""",""
"passed","Thu Nov 03 12:46:59 IST 2022","Thu Nov 03 12:47:18 IST 2022","19216","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black & white""",""
"passed","Thu Nov 03 12:30:29 IST 2022","Thu Nov 03 12:30:41 IST 2022","12229","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""emotional""",""
"failed","Thu Nov 03 12:41:24 IST 2022","Thu Nov 03 12:41:25 IST 2022","1047","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""stunning view/scenery""",""
"passed","Thu Nov 03 12:30:10 IST 2022","Thu Nov 03 12:30:29 IST 2022","19219","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""egg white""",""
